SASGIFTST014,SANABEL GIFT ST014,208
G1206P-2207E-17,17" Oval Plate,735
MAD01,MADELENE ORANGE,98
NT0055A,Black Sesame Seeds,32
SAS-ASC Real,Sanabel Salam- Real Chocolate,8280
TOU3,FC TOUPIE 100X220,4992
GR003,GARDENIA CHOCOLATE PAPER,410
SSGIFT46MA,Sanabel Gift 46M-A,34
40093B,Euro Twin Cake Vanilla (32gx48pcs),4243
BOXPG013,Baklawa 1 Kg No Brand,24517
20106,Rightbite Sweet Box,700
CRS08,Hazelnut Cream,428
BOXMX030,CATCOOT CAKE BOX 35*35*15CM,4420
CR06FL-2020-25C,Cappuccino Filling 25Kg,114
SSGIFT6LP,Sanabel Gift 6L-P,563
VM03SP-2024,White Vermicelli,10949.9
TRAWD003,Wooden Tray Black&Golden (Set Of 3 Sizes),835
SASGIFT-TRAY 021,SANABEL GIFT TRAY 021,1440
B3-7057E,ELEPHANT CUPS (12/PACK),1248
MN22,Malban Nougat Variety,30
LP25,CIGAR ROLL,1431
SST ALTHAWH,Stickers Althawah Alrafea,265
SHELF 01,SHELF-SMALL,58
FB10,Ferrero Balls With Hazelnut Filling Enrobed With Feuttine,62.5
A-20-11-1-BLUE,LEATHER TRAY,9
RS01,Roche Collection,506
HL500,Halawa Mix Box 500g,3320
B10893-7,Accessories (D155),500
BC10,Brownie Collection,124
SSGIFT58M-D,SANABEL GIFT 58M-D,148
AW000,Awama,857.5
CP015 Roll 8 cm,CP015 Roll 8 Cm,109.4
10008,Garbage Bag (110x90) 1x20kg,570
BLISTER 39,Tray For Sanabel-Twril Chocolate Box,47700
SAS-DR250,SANABEL DRAGEE SMALL 250,17234
SSGIFT04MA,SANABEL GIFT 04M-A,520
